,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
291,3,3,21,1,True,"[[3, 21, 1], [3, 21, 1], [3, 21, 1]]"
292,3,3,21,2,True,"[[3, 21, 2], [3, 21, 2], [3, 21, 2]]"
293,3,3,21,3,True,"[[3, 21, 3], [3, 21, 3], [3, 21, 3]]"
294,3,3,21,4,True,"[[3, 21, 4], [3, 21, 4], [3, 21, 4]]"
295,3,3,21,5,True,"[[3, 21, 5], [3, 21, 5], [3, 21, 5]]"
296,3,3,25,0,True,"[[3, 25, 0], [3, 25, 0], [3, 25, 0]]"
297,3,3,25,1,True,"[[3, 25, 1], [3, 25, 1], [3, 25, 1]]"
298,3,3,25,2,True,"[[3, 25, 2], [3, 25, 2], [3, 25, 2]]"
299,3,3,25,3,True,"[[3, 25, 3], [3, 25, 3], [3, 25, 3]]"
300,3,3,25,4,True,"[[3, 25, 4], [3, 25, 4], [3, 25, 4]]"
301,3,3,25,5,True,"[[3, 25, 5], [3, 25, 5], [3, 25, 5]]"
302,3,4,4,0,True,"[[4, 4, 0], [4, 4, 0], [4, 4, 0]]"
303,3,4,7,0,True,"[[4, 7, 0], [4, 7, 0], [4, 7, 0]]"
304,3,4,7,1,True,"[[4, 7, 1], [4, 7, 1], [4, 7, 1]]"
305,3,4,11,0,True,"[[4, 11, 0], [4, 11, 0], [4, 11, 0]]"
306,3,4,11,1,True,"[[4, 11, 1], [4, 11, 1], [4, 11, 1]]"
307,3,4,11,2,True,"[[4, 11, 2], [4, 11, 2], [4, 11, 2]]"
308,3,4,14,0,True,"[[4, 14, 0], [4, 14, 0], [4, 14, 0]]"
309,3,4,14,1,True,"[[4, 14, 1], [4, 14, 1], [4, 14, 1]]"
310,3,4,14,2,True,"[[4, 14, 2], [4, 14, 2], [4, 14, 2]]"
311,3,4,14,3,True,"[[4, 14, 3], [4, 14, 3], [4, 14, 3]]"
312,3,4,18,0,True,"[[4, 18, 0], [4, 18, 0], [4, 18, 0]]"
313,3,4,18,1,True,"[[4, 18, 1], [4, 18, 1], [4, 18, 1]]"
314,3,4,18,2,True,"[[4, 18, 2], [4, 18, 2], [4, 18, 2]]"
315,3,4,18,3,True,"[[4, 18, 3], [4, 18, 3], [4, 18, 3]]"
316,3,4,18,4,True,"[[4, 18, 4], [4, 18, 4], [4, 18, 4]]"
317,3,4,21,0,True,"[[4, 21, 0], [4, 21, 0], [4, 21, 0]]"
318,3,4,21,1,True,"[[4, 21, 1], [4, 21, 1], [4, 21, 1]]"
319,3,4,21,2,True,"[[4, 21, 2], [4, 21, 2], [4, 21, 2]]"
320,3,4,21,3,True,"[[4, 21, 3], [4, 21, 3], [4, 21, 3]]"
321,3,4,21,4,True,"[[4, 21, 4], [4, 21, 4], [4, 21, 4]]"
322,3,4,21,5,True,"[[4, 21, 5], [4, 21, 5], [4, 21, 5]]"
323,3,4,25,0,True,"[[4, 25, 0], [4, 25, 0], [4, 25, 0]]"
324,3,4,25,1,True,"[[4, 25, 1], [4, 25, 1], [4, 25, 1]]"
325,3,4,25,2,True,"[[4, 25, 2], [4, 25, 2], [4, 25, 2]]"
326,3,4,25,3,True,"[[4, 25, 3], [4, 25, 3], [4, 25, 3]]"
327,3,4,25,4,True,"[[4, 25, 4], [4, 25, 4], [4, 25, 4]]"
328,3,4,25,5,True,"[[4, 25, 5], [4, 25, 5], [4, 25, 5]]"
329,3,5,4,0,True,"[[5, 4, 0], [5, 4, 0], [5, 4, 0]]"
330,3,5,7,0,True,"[[5, 7, 0], [5, 7, 0], [5, 7, 0]]"
331,3,5,7,1,True,"[[5, 7, 1], [5, 7, 1], [5, 7, 1]]"
332,3,5,11,0,True,"[[5, 11, 0], [5, 11, 0], [5, 11, 0]]"
333,3,5,11,1,True,"[[5, 11, 1], [5, 11, 1], [5, 11, 1]]"
334,3,5,11,2,True,"[[5, 11, 2], [5, 11, 2], [5, 11, 2]]"
335,3,5,14,0,True,"[[5, 14, 0], [5, 14, 0], [5, 14, 0]]"
336,3,5,14,1,True,"[[5, 14, 1], [5, 14, 1], [5, 14, 1]]"
337,3,5,14,2,True,"[[5, 14, 2], [5, 14, 2], [5, 14, 2]]"
338,3,5,18,0,True,"[[5, 18, 0], [5, 18, 0], [5, 18, 0]]"
339,3,5,18,1,True,"[[5, 18, 1], [5, 18, 1], [5, 18, 1]]"
340,3,5,18,2,True,"[[5, 18, 2], [5, 18, 2], [5, 18, 2]]"
341,3,5,18,3,True,"[[5, 18, 3], [5, 18, 3], [5, 18, 3]]"
342,3,5,21,0,True,"[[5, 21, 0], [5, 21, 0], [5, 21, 0]]"
343,3,5,21,1,True,"[[5, 21, 1], [5, 21, 1], [5, 21, 1]]"
344,3,5,21,2,True,"[[5, 21, 2], [5, 21, 2], [5, 21, 2]]"
345,3,5,21,3,True,"[[5, 21, 3], [5, 21, 3], [5, 21, 3]]"
346,3,5,21,4,True,"[[5, 21, 4], [5, 21, 4], [5, 21, 4]]"
347,3,5,25,0,True,"[[5, 25, 0], [5, 25, 0], [5, 25, 0]]"
348,3,5,25,1,True,"[[5, 25, 1], [5, 25, 1], [5, 25, 1]]"
349,3,5,25,2,True,"[[5, 25, 2], [5, 25, 2], [5, 25, 2]]"
350,3,5,25,3,True,"[[5, 25, 3], [5, 25, 3], [5, 25, 3]]"
351,3,5,25,4,True,"[[5, 25, 4], [5, 25, 4], [5, 25, 4]]"
352,3,6,4,0,True,"[[6, 4, 0], [6, 4, 0], [6, 4, 0]]"
